company,symbol,weight,price,%_change
MetLife Inc.,MET,0.151676,47.36,-0.59%
Roper Technologies Inc.,ROP,0.149156,354.63,(-0.17%)
Public Storage,PSA,0.148811,245.01,(-0.59%)
Welltower Inc.,WELL,0.148416,90.29,(-0.36%)
Prudential Financial Inc.,PRU,0.147323,90.16,-0.47%
Ford Motor Company,F,0.14486,9.08,(-0.66%)
Allstate Corporation,ALL,0.144042,107.83,(-0.26%)
Humana Inc.,HUM,0.143814,257.59,(-2.19%)
Dow Inc.,DOW,0.142682,47.07,(-0.34%)
Lam Research Corporation,LRCX,0.142062,230.1,(-5.24%)
Moody's Corporation,MCO,0.141866,205.88,(-3.42%)
Eaton Corp. Plc,ETN,0.140823,83.01,-0.63%
Johnson Controls International plc,JCI,0.140293,43.67,-0.18%
Valero Energy Corporation,VLO,0.140224,84.44,-1.59%
FedEx Corporation,FDX,0.140219,144.75,(-0.28%)
Constellation Brands Inc. Class A,STZ,0.139331,206.4,-0.16%
Xcel Energy Inc.,XEL,0.139162,65.45,(-0.18%)
Yum! Brands Inc.,YUM,0.139069,112.99,-0.16%
Delta Air Lines Inc.,DAL,0.137676,58.36,(-0.71%)
Marriott International Inc. Class A,MAR,0.135978,120.78,(-0.73%)
Cognizant Technology Solutions Corporation Class A,CTSH,0.133352,58.76,(-1.50%)
General Mills Inc.,GIS,0.133193,54.75,(-0.44%)
Twitter Inc.,TWTR,0.132781,41.35,(-2.57%)
Autodesk Inc.,ADSK,0.132438,146.1,(-1.99%)
Newmont Goldcorp Corporation,NEM,0.130114,38.54,(-2.11%)
Advanced Micro Devices Inc.,AMD,0.129482,28.7,(-2.61%)
Consolidated Edison Inc.,ED,0.127248,94.62,(-0.03%)
HCA Healthcare Inc,HCA,0.126855,118.96,-0.70%
TE Connectivity Ltd.,TEL,0.126817,92.71,(-0.41%)
Public Service Enterprise Group Inc,PEG,0.126637,61.73,(-0.85%)
eBay Inc.,EBAY,0.124217,38.45,(-1.22%)
O'Reilly Automotive Inc.,ORLY,0.122691,394.48,(-0.42%)
Equity Residential,EQR,0.122407,86.25,-0.07%
ONEOK Inc.,OKE,0.122303,73.3,(-0.26%)
SunTrust Banks Inc.,STI,0.121735,68.85,-0.86%
WEC Energy Group Inc,WEC,0.121696,94.87,(-1.07%)
AvalonBay Communities Inc.,AVB,0.121582,214.27,-0.10%
Ingersoll-Rand Plc,IR,0.120489,123.56,-0.06%
Williams Companies Inc.,WMB,0.117581,24.2,-0.29%
Amphenol Corporation Class A,APH,0.116456,95.73,(-0.70%)
Electronic Arts Inc.,EA,0.115886,95.99,(-0.65%)
V.F. Corporation,VFC,0.115649,88.79,-0.82%
Motorola Solutions Inc.,MSI,0.114873,170.19,(-1.26%)
Zimmer Biomet Holdings Inc.,ZBH,0.112569,134.13,(-1.81%)
SBA Communications Corp. Class A,SBAC,0.112259,236.83,(-3.72%)
IQVIA Holdings Inc,IQV,0.111951,148.25,(-2.36%)
PPG Industries Inc.,PPG,0.111395,118.22,-1.34%
Eversource Energy,ES,0.110748,85.34,-0.09%
Edison International,EIX,0.110672,75.88,-0.17%
HP Inc.,HPQ,0.11048,18.53,-0.60%
Ventas Inc.,VTR,0.110187,73.65,(-0.11%)
Hilton Worldwide Holdings Inc,HLT,0.108263,91.45,(-0.61%)
IHS Markit Ltd.,INFO,0.107926,65.68,(-1.20%)
Southwest Airlines Co.,LUV,0.107853,54.34,(-0.44%)
AutoZone Inc.,AZO,0.107765,"1,085.00",(-0.06%)
Dollar Tree Inc.,DLTR,0.10769,114.3,-1.64%
